kind,evidence_id,title,summary,skills,tools,outcome,employment_basis,years_experience,url
CONSTRAINT,,Work rights,"Australian citizen with full work rights; no visa sponsorship required.",,,,,,
CONSTRAINT,,Location and compensation preference,"Based in Melbourne; open to remote-Australia roles; minimum base salary AUD 130,000 or an equivalent contract rate.",,,,,,
PROJECT,proj-001,Customer 360 identity resolution platform,"Built a production identity-resolution and customer-360 data platform unifying CRM, sales and support records for a mid-market SaaS company.",data engineering|identity resolution|data modeling|python,BigQuery|dbt|Airflow|Python,"Cut duplicate-customer rate from 18% to under 2% across 4M records.",INDEPENDENT,1,https://github.com/example/customer-360
PROJECT,proj-002,Applied ML pipeline for lead scoring,"Designed and shipped a lead-scoring model and serving pipeline integrated into a sales CRM.",machine learning|mlops|python|feature engineering,scikit-learn|FastAPI|Docker|PostgreSQL,"Increased qualified-lead conversion by 22% in a 3-month pilot.",CONTRACT,1,
PROJECT,proj-003,Automation engineer: ETL orchestration,"Automated a manual, spreadsheet-based reporting process into a scheduled ELT pipeline with data-quality checks.",automation|orchestration|data quality|sql,Airflow|dbt|BigQuery|GitHub Actions,"Reduced weekly reporting time from 6 hours to 15 minutes.",EMPLOYEE,2,
PROJECT,proj-004,Internal analytics dashboard (React + TypeScript),"Built a frontend analytics dashboard for operational metrics used daily by a 12-person operations team.",frontend engineering|react|typescript|data visualization,React|TypeScript|Next.js|Tailwind CSS,"Adopted as the team's daily driver within 2 weeks of launch.",CONTRACT,1,
PROJECT,proj-005,Salesforce-to-warehouse sync service,"Implemented a resilient Salesforce Bulk API sync into a cloud warehouse with schema-drift handling and retries.",data engineering|api integration|salesforce|python,Salesforce Bulk API|Python|BigQuery|Docker,"Reduced pipeline failure rate to near zero over a 6-month operating window.",INDEPENDENT,1,
SKILL,skill-python,Python for production data and ML systems,"5+ years writing production Python for data pipelines, APIs and ML services.",python|data engineering|machine learning,Python,,,5,
SKILL,skill-sql,SQL and warehouse modeling,"Advanced SQL and dimensional and warehouse modeling across BigQuery and Postgres.",sql|data modeling|warehousing,BigQuery|PostgreSQL|dbt,,,5,
SKILL,skill-react,React and TypeScript frontend development,"Building production React and TypeScript applications, including data-heavy dashboards.",frontend engineering|react|typescript,React|TypeScript|Next.js,,,3,
SKILL,skill-mlops,MLOps and model serving,"Packaging and serving ML models behind APIs with monitoring and versioning.",mlops|machine learning|apis,FastAPI|Docker|MLflow,,,2,
EXPERIENCE,exp-001,Independent data and AI consultant,"Delivering data platform, automation and applied-AI projects for small and mid-market clients on a contract and independent-delivery basis.",data engineering|automation|applied ai|client delivery,,"Delivered 5 client engagements over 18 months with 100% on-time delivery.",INDEPENDENT,2,
